Id,Verified,Followers,Region
MichaelJMally1,false,64,Kansas
Debhneal,false,8960,
HayGianina,false,78,South Carolina
Darrell_Clarke,false,14660,Pennsylvania
virgil77712,false,24,District of Columbia
tqtt2020,false,1078,Texas
nutmeg62,false,6195,New York
BrandsenZack,false,69,Oregon
AmericanCapita7,false,46,
inxaxgraveyard,false,64,New Jersey
cdale1,false,2404,Pennsylvania
qpxkylexqp,false,123,New Jersey
Ernesto4real,false,421,Texas
jtahmooressi1,false,2376,Florida
zeusFanHouse,false,65374,Illinois
RobbinMilne,false,1274,California
BlackIrishI,false,20972,Colorado
carol_33410,false,3413,
hilindahere,false,872,California
ConnieLBrown61,false,1731,
ekterashima,false,2344,California
ashleighpierce_,false,668,Ohio
amberglows,false,1092,Indiana
MetroShadowOne,false,2000,California
melody_mcgowan,false,14238,Texas
LaraPatriot,false,42185,Texas
boconnel,false,2865,Virginia
THeinrich22,false,51872,Kentucky
Sparks80079110,false,42544,Arizona
BikingBluesman,false,125,Michigan
whterrell,false,166,Texas
A_Fehdurahlist,false,446,Arizona
DaGrayArea1,false,111,Illinois
jamiesdreamteam,false,423,Texas
nancyhomeseller,false,752,California
jhu_coah,false,501,Maryland
C_Coolidge,false,13403,Texas
ginny32392992,false,112,Florida
jones_q421,false,327,
Arcticwolff,false,1780,Ohio
tafl56,false,11566,
Rparkerscience,false,38433,Alabama
Jen_Raz206,false,1902,Florida
USA4DJT,false,34106,
ShawnG927,false,94300,Ohio
nypl,true,2548288,
sicilianfigs,false,3732,
larnold92,false,255,Minnesota
jesusrockz1133,false,727,Florida
DirtBaked,false,185,
AndiParkinson,false,1498,Maine
Jeprox2,false,6,Georgia
VoteBiden20,false,64,
roxyszal,false,995,California
chilldenied,false,36,Louisiana
ThePenExaminer,false,1609,
sibeledmonds,false,52785,Florida
ToniS1955,false,3121,Florida
Def18436572,false,2798,
DeniWolff,false,3137,Pennsylvania
ChristineCaven,false,690,Florida
asheborn57,false,19846,
GeoOilfield,false,375,Texas
JoshBlackStPete,false,3286,Florida
AS_Twitty,false,123,California
JeffEnglander,false,376,Virginia
CynGartner,false,2949,New York
Babz46,false,17107,Florida
hrumpole,false,1660,Pennsylvania
isaac_villasenr,false,391,Arizona
sheebs64,false,12001,Missouri
am___king,false,413,Connecticut
fsturgeonfl,false,13191,Florida
basili_debra,false,11284,Illinois
kurtnorman73,false,110,Oregon
SgtMajorNINJA,false,54,
McGettrickD,false,186,Texas
JaredAllebest,false,906,Utah
jcrcstl,false,590,Missouri
DefenderCJ2186,false,108,District of Columbia
JillsonEmily,false,319,
TheScottCharles,false,20528,Pennsylvania
wolfsnowchicken,false,134,Florida
PsychTimes,false,89718,
AnnTKAG2020,false,72068,
Patriot01224735,false,706,Florida
EnterpriseCodeG,false,287,
markaduck,false,2703,
eoalejandro,false,98,Illinois
frannyhelen,false,1962,North Carolina
GrandmaNixon,false,313,New York
OviCondrea,false,310,Illinois
KatheeJohnston1,false,3289,Texas
SteveCinSoCal,false,9164,California
mightymykey1,false,5798,California
DDsModernLife,false,1406,Georgia
idiotic_t,false,134,Texas
bivouacgenetics,false,238,
joehick58,false,15711,Pennsylvania
granger_md,false,13,
Skinnyminmie,false,27,Pennsylvania
duve,false,868,Illinois
ShawnMSullivan2,false,1299,Minnesota
jmarren0112,false,110,Pennsylvania
RealitySmackU,false,11909,
giselleaguiar,false,2225,Arizona
ryan10_sa,false,94,Washington
KelseyWaitsMN,false,162,Minnesota
booda001,false,1214,Illinois
dondikeanukam,false,473,Nevada
UPproach,false,1703,Oregon
poppavein,false,72,
BLM_KC,false,1092,Missouri
ChefLFlynn,false,1921,
PorterSumari,false,1919,Florida
KathrynForsyth4,false,70,
Eric_Frederick,true,2072,North Carolina
jamesreb,false,1539,California
GuiseElizabeth,false,1555,New York
JennaG1713,false,376,
MartinMartinez_,false,201,Texas
MistralWinds,false,8736,California
lanceluther83,false,243,Texas
amybett,false,1439,Missouri
Sincerely_Ciara,false,457,North Carolina
lobstahsinmaine,false,9089,Maine
Ondri_2000,false,165,Illinois
LPTexas,true,7449,Texas
AKMatty,false,220,Alaska
daffi515,false,2926,New York
