Source,Target,Time
WayneGoodwinNC,yvonnelholley,1596754563000
BenKirkland19,joebiden,1600099656000
NewsLinksNet,april14th1865,1601473259000
ginsbergcenter,umpublicaffairs,1604084827000
GlenSmi70330487,wordpressdotcom,1603137432000
LindseyGrahamSC,jordansekulow,1604371487000
billculver,kamalaharris,1604356389000
Whitsk,ajenglish,1601590165000
MOOCsNews,,1602948524000
TriciaOPhoto,krisb_brown,1603686310000
MJdowntheshore,,1601446524000
paula_myrick,joebiden,1604038657000
eoalejandro,eoalejandro,1601447100000
NWSOFA,bjdmama,1603163619000
EagleMt,markhankins1123,1603652548000
covidhoax2020,vp,1603770916000
ChrisCasquejo,,1601586695000
CleanEnergyBiz,bcsecleanenergy,1603828879000
NewConstructs,,1604004723000
CalMatters,,1604349242000
WVWorkingFams,maryannehitt,1603642269000
DCarsonCPA_CT,tomfitton,1598133755000
JOLPOLitico,wildforcongress,1603935614000
essvote,,1604092212000
HolyJoe59,realdonaldtrump,1600102232000
Ann_earthling,devonheinen,1601241738000
RoseGardenNEWS,sebgorka,1596477501000
jenniferclmn,gop,1604376332000
bigpops8792,ckchumley,1603761019000
jostonjustice,rickhasen,1603734856000
LatinoUSA,astrid_nv,1604100940000
raymondafoss,staceyabrams,1604106780000
UCWV_Zona,ucwv_baseball,1600142533000
edensaunt,phillyinquirer,1603749117000
JennaGoose,ngameztorres,1603848917000
Colonit,texasgop,1602860028000
MfJones62566824,cbs_herridge,1603153806000
Trendstone100,tomfitton,1600145983000
DMHord1,ktsmtv,1604376253000
Tance2000,mazurikl,1604359365000
LatinoUSA,inthethickshow,1604100940000
gerig52,conmomma,1604376862000
thats_jah,,1603965807000
Captainturtle,johnkasich,1604304903000
CaptainBerz,cnn,1604078595000
OU_KAG,realdonaldtrump,1601622463000
larry_kunz,,1604306681000
KasoKim,michaelemann,1604358952000
BobShrum,bobshrum,1601454849000
BookHelpForYou,mondayblogs,1601512549000
StevenHanson_TM,,1604363951000
JulieS8921,a35mmlife,1603961101000
ConscienceCit,bronson69,1601441723000
MaggieinH,tomfitton,1596259853000
hygarner,capitolcomments,1604344217000
NWAMiller,bentoncoar,1603854724000
beatjosep,joebiden,1603570515000
TheOtherMandela,jessieopie,1604346382000
ogredon1,sourpatchlyds,1601174221000
patriotmom61,patriot_voices,1603764548000
BrianKonkol,ifyc,1604034766000
SigBeretta,jewel4trump,1596775393000
gsaleguy,joebiden,1600155757000
geoff_bernz,realdonaldtrump,1604074872000
wirewrapping,votetrumppics,1603992952000
Cori__Paige,kamalaharrison,1598076553000
GUPolitics,moelleithee,1604344446000
RyneBolick,jorgensen4potus,1596353541000
0ldManStoneZone,,1600366476000
D_P_Patterson,johnrobertsfox,1601681388000
harry20131120,gatewaypundit,1603822386000
CajunChange,realdonaldtrump,1603999551000
telosa3,missilmom,1604370342000
LoLoMead,d_alex_connect,1599886483000
CMDR_Paylor,,1599891270000
CoryZaro,realdonaldtrump,1600188213000
CatalenaNikole,vp,1602902453000
AlanGamino1997,iheartradio,1603835048000
Rowdygirlinmt,yogaskidogs,1603523768000
BigTomCollins,joebiden,1600059645000
Heffaay,missmayim,1603860038000
NancyPerlman1,ilhanmn,1603866275000
JosephSoblosky,anc168,1600322168000
BettyAn36951785,electproject,1602902539000
UTnewsie,cradvocacy,1603588049000
JamesJo16343311,realdonaldtrump,1602905424000
todd_sntcareers,danscavino,1604307352000
DakotaTuff,cognitivediss00,1603691503000
jparkerNFL,timkennedymma,1600148206000
