Source,Target,Time
Melbo0221,TimothyTheHippo,1602914206000
AKMatty,,1604027925000
Charles98525018,ShaineScalph,1603851077000
EllenStreiff,BGOnTheScene,1603669785000
UMDPublicHealth,,1603825264000
Sedgewicklebow1,SammiG0203,1602997373000
jj5barry,RevJJackson,1601393078000
SisterEuphemia,,1598215720000
sorokti,,1601439112000
lixxie2008,TheYoungTurks,1603665678000
GoldsteinEman,TimKennedyMMA,1600084247000
CherylS13478522,perfectsliders,1601624329000
EveryLibrary,PENamerica,1601408557000
GifAgain,,1603678534000
FlyGrl520,MalcolmOutLoud,1598208111000
dirtnose,dfwmv,1603085593000
tazmac55,VicToensing,1600388705000
zacharyaharper,TimKennedyMMA,1600151173000
sicilianfigs,SKYRIDER4538,1603024457000
DavidWallSea,Jorgensen4POTUS,1600400728000
UPproach,TexasGOP,1602938638000
AlanTonelson,,1601447200000
ChristineCaven,QuentinYoumans,1603778021000
justmetmc,zeusFanHouse,1601621643000
Rocinan50007011,,1596564847000
2old2kare,weareallbeggars,1603751515000
LynetteDelong_1,realpatriotmatt,1603080670000
icivics,,1602878907000
fsturgeonfl,dmon4ever,1603081502000
netbacker,LukeLuk3Luke,1604375065000
ChadMStevens,TheLeoTerrell,1603138183000
DefenderCJ2186,GrahamAllen_1,1604378636000
RaeMargaret61,marcetotw,1603906673000
jumptuitcorp,JumptuitNow,1604372585000
RichardEricD,Jen_Mallo,1603814739000
VotingGOPOut,SOrganizers,1604295462000
rsultzba,zeusFanHouse,1602825786000
GreerBower,PaulCobler,1604373193000
Robynmonty,Rasmussen_Poll,1604089629000
bobcullen12,ProudAmerican82,1604028459000
troothbtoad,TexasGOP,1602880384000
Grav1,,1603859176000
JamesJo16343311,WA_Silenced_Maj,1602905424000
SheilaLAnderson,FreedomWorks,1604010946000
marymorrtamu85,miyashay,1604307905000
LeahMessenger,Jorgensen4POTUS,1600230382000
josh__blaylock,DanScavino,1604345555000
NCAPAtweets,EmpoweredPI,1604007209000
ciarokee,ConservaMomUSA,1603902498000
LibertatemFirst,KeithMalinak,1602967501000
Ojokelv,Ojokelv,1601399880000
carlsemmes,EricMMatheny,1601332053000
JerseyPatriots,GordonGChang,1603649017000
EspenFourOne4,,1596611065000
tweetypickler,adjunctprofesor,1601462149000
ratsavage,m4changeco,1603752864000
snoop90044,IPLawMarcos,1601528341000
sapiofox,RitaCosby,1604314541000
MrKyleWhitt,,1600199812000
AF1_4_TheDonald,TrumperSeaney,1601447077000
PeggyStuart,SOrganizers,1603707424000
notComey,AymanM,1601455533000
JozeyWellzATL,TheLeoTerrell,1603139206000
Sincerely_Ciara,FOX46News,1603851616000
LisaMichelleEll,VABVOX,1604095863000
DDbuyer,johncardillo,1603858620000
dkopensky,Angela17Patriot,1604295234000
strummer_matic,Jorgensen4POTUS,1600118273000
Joeanthony_nyc,,1603655656000
jdennisfootball,TimKennedyMMA,1600121449000
Jennife34195249,WarRoomPandemic,1604084887000
altcensored,dyershand,1596488057000
michaeljeaton,TexasGOP,1602865369000
Freedomnow71,DrNealHouston,1603526107000
rparham,,1604354569000
jeanna2424,PLTWorg,1604375494000
MissouriGOP,SpeakerTimJones,1604340195000
jesusrockz1133,voxdotcom,1604375327000
VTpollster,KSoltisAnderson,1604013884000
WordsOnIce,ErnestScheyder,1604361055000
cmaguire416,JohnKasich,1604343565000
AlexOsiadacz,,1603137033000
lmblaj1234,mikandynothem,1604378292000
Ondri_2000,,1601632645000
SpringerKM,VictorBlackwell,1604376640000
Ms_Robinett,nypl,1603560693000
Fruition12,TimKennedyMMA,1600122245000
MikeHarwell66,CBS_Herridge,1602958703000
Sadjaxx,USATODAY,1604015663000
asiaontv,,1603567715000
jones_q421,DanteIosono,1600148824000
hohn44,lservies,1603814195000
SethKinstle,,1600342253000
pfiala21,TimKennedyMMA,1600210085000
sunsetlane82,BBCAfrica,1604362377000
BosWomensFund,MassVOTE,1600198486000
robinbobula,TexasGOP,1602904465000
TeaParty101,perfectsliders,1600052680000
HalloweenBlogs,Matt4VA,1602901567000
PatrickJDoody,,1603573086000
joehick58,Gdad1,1604369882000
RichHillman6,jrezaian,1603615141000
SteveGuidetti,,1602869733000
laxconcierge,DanScavino,1604314169000
SnoozeyQ,DanScavino,1604368012000
noventurenogain,ProtectTheVote,1604112194000
TrumpOrAmerica,gfunderburgNC9,1603755514000
LaToriaBolden,,1603029932000
zooslife,scrowder,1603859911000
Nativ3Digital,,1601588494000
JCarlosdePC,bpolitics,1600216101000
SD_SocialWorker,SocialWorkItOut,1604372785000
nickloesberg,VicToensing,1600358209000
jcblount,cognitivediss00,1601226300000
PatriotCzar,ConservaMomUSA,1603883940000
your_mom4242,funder,1601446876000
Maldo_Riv,Jorgensen4POTUS,1596310470000
Moniquee883,Patrici15767099,1603566945000
santuci71_frank,AP_Politics,1603863754000
amybett,mizzouatheart,1604101572000
jamesabloom,NRSC,1601191888000
Deeraflynn,RobertBrodey,1603114897000
AFTteach,sharemylesson,1600207762000
greentaralady,,1601318528000
AZLD13Democrats,,1603581817000
dsilverman,,1603990273000
fakenew44129669,,1600140398000
verret_lee,,1601448192000
BoiseState,,1604302263000
ryanmoore001,DanScavino,1604326720000
edensaunt,PhillyInquirer,1603749117000
jjvlovelove,GrahamAllen_1,1604366763000
chris_kubica,,1601759591000
DrAAlBahrani,jeni_houser,1602823729000
Kat4Obama,austintexasgov,1601500674000
beccagturner,VHansenSCRadio,1599952391000
Local24CaitlinM,Local24CaitlinM,1603837471000
MAGADebWWG1WGA,mschlapp,1596680625000
annejonesmn,SuMoh7,1601109316000
ejw1612,TimKennedyMMA,1600095420000
scottmpetri,,1603688305000
jrossr59,TimKennedyMMA,1600151414000
garlandgates,AprilDRyan,1601654182000
AntheRhodes,civilrightsorg,1604110959000
markvegezzi1,sarnzzzzz,1604379000000
roxyszal,craignewmark,1604086032000
LindsayKelleyS,JRubinBlogger,1600326869000
breezyshade007,yoyoel,1603745148000
ScottSaxman1,TexasGOP,1602860332000
AndyFrmHartford,,1604293579000
lori_tech,ouchinagirl,1601256142000
Thrive_33,,1604080874000
WhitneysTruLove,piersmorgan,1603748106000
jthcivic,LACountyBOS,1604363102000
sizzle_sarah,,1601672547000
ConscienceCit,madgib1987,1601441723000
smj32111,chipfranklin,1604367188000
AleshaHase,StreetRoots,1601279086000
ACLUNV,,1603596609000
carrerapulse,Eric_Ericeira,1603998936000
RealitySmackU,Nick_Clamorgan,1599798355000
NHale1776,MalcolmOutLoud,1600294828000
JustinLemkulVT,,1603127177000
stephenogunyemi,DonaldJTrumpJr,1604372775000
JulioAcosta85,NALEO,1604102273000
myfairobserver,,1603098000000
januarycat,mariashriver,1604379248000
muzzys_kitchen,AprilDRyan,1598062029000
Highland0371,WarRoomPandemic,1601324128000
Obarbieo1,QuentinYoumans,1603557616000
OGSamuraiNC,DHStokyo,1603572815000
trail_8,DanScavino,1604339448000
AtomicRikkiTiki,TimKennedyMMA,1600108369000
SlemPike1,Jorgensen4POTUS,1600131980000
