Id,Verified,Followers,Region
raeganpayne,false,2166,California
Scott2Bfree,false,763,Texas
jakohunter,false,32,Michigan
crcwilkinson,false,418,Texas
markgordon3354,false,588,
Mononoke__Hime,false,1737,California
EvilBachus,false,426,
thebitchuation,false,451,Nevada
SamuelWang2018,false,567,Georgia
AndrewSenyk,false,4078,Texas
Lowcountry1Girl,false,65481,
Aikens_Josh,false,25389,
liberrygirl65,false,335,Idaho
GenzianaJust,false,1383,Florida
RoseGardenNEWS,false,196,Nevada
CaptainBerz,false,696,
GMB4TRUMP,false,1289,
LMBTrump2020,false,2746,Minnesota
NewsLinksNet,false,8435,
Captainturtle,false,3472,
bin_rucker,false,29,California
Tuttivero,false,211,New York
Pedal2DMetals,false,29301,Georgia
kwrcrow,false,28090,
JKrew2,false,3484,California
RoKeT_gal,false,3775,North Carolina
Rowdygirlinmt,false,14967,Montana
Jilliandance,false,4958,California
DCarsonCPA_CT,false,1613,
ObiWanTerhuni,false,5,Wisconsin
wirewrapping,false,2656,
chardunbar2,false,5464,
lowetom65,false,261,Michigan
BikeandT,false,22,New York
Dublindan7The,false,16382,California
two_colored,false,121,Florida
realJoeGuzman,false,158,New York
5HERM4N5,false,136,Illinois
cssfarmer,false,20162,
jkspagosa,false,18727,
FinchinABQ,false,499,New Mexico
roswellstalkfm,false,663,New Mexico
frodri_023,false,839,
themadelineeliz,false,836,California
MicahDee14,false,359,Texas
sandysva,false,611,Virginia
Karl_E_B,false,515,Missouri
jenniferclmn,false,1222,Virginia
MfJones62566824,false,1338,
cchartini,false,91,Colorado
CleanEnergyBiz,false,972,District of Columbia
SOscarboy2,false,67,Alaska
tslanning,false,34965,California
gerig52,false,6952,
MAGA_DJT2016,false,1811,
conservogirl,false,8475,
AtomicRikkiTiki,false,2716,
JustMike8,false,1627,
MissouriJayhawk,false,5753,Missouri
DakotaTuff,false,31074,
customrogue,false,879,
xx2geexx,false,394,New York
DeplorableDeDe,false,6093,
JennaGoose,false,488,Washington
McQHoya81,false,254,Massachusetts
WVWorkingFams,false,1130,Virginia
explorelife,false,12083,Oregon
DudeRiley7,false,75,Illinois
KeepingUPosted,false,12458,
2hazy2c,false,791,
SethCL,false,6491,Florida
JoeFMartin1,false,5803,Texas
Shiftyone2,false,13256,
IndependentFor1,false,4,
LRBuckeye,false,306,
PittsTracy,false,4296,
Les__Med,false,97,Texas
lovebaldeagles,false,61285,Florida
sciam,true,3884935,New York
bdbsport,false,426,Texas
TWISTtweets,false,1530,Ohio
dotcomdon1,false,3458,Massachusetts
